format	extensions	description	tags	encoding	links	apps
AutoCAD and Open Design Alliance applications, Autodesk Inventor Drawing file	dwg		CAD			
Autodesk 3D Studio Max file	max		3d-graphics			
Autodesk FBX	fbx		3d-graphics			
Autodesk Inventor Assembly file	iam		CAD			
Autodesk Inventor Drawing file	idw		CAD			
Autodesk Inventor Part file	ipt		CAD			
Autodesk Inventor Presentation file	ipn		CAD			
Autodesk Maya ASCII File	ma		3d-graphics			
Autodesk Maya Binary File	mb		3d-graphics			
Autodesk Revit family files	rfa		CAD			
Autodesk Revit project files	rvt		CAD			
Autodesk's Web Design Format; AutoCAD & Revit can publish to this format; similar in concept to PDF files; Autodesk Design Review is the reader	dwf		CAD			
AutoHotkey script file	ahk		script			
AutoIt version 3	au3		script			
AVEVA PDMS 3D Review model	rvm 		CAD			
AVI container	avi	A shell, which enables any form of compression to be used	video			
Axcrypt encrypted file	axx	Generated with Axcrypt	security, encryption			
AXD	axd	Cookie extensions found in temporary internet folder	web			
B file	b	Similar to .a, but a little less compressed…	archive, compression	binary		
Backup Format	bak, bk	Various types. E.g.: Copies of data files, application-specific data backup formats, general file backup programs		binary		
BackupEarth.com Data compression	.bke		archive, compression	binary		
BASIC	bas		code			
BASIC-PLUS	bas		code			
BASIC-PLUS COMPILE	bac	An executable image for the RSTS/E system, created using the BASIC-PLUS COMPILE command	executable-files			
Batch file	bat		script			
Batch file	cmd		script			
BCI2000 project	bci2000	Albany, NY, USA.	biomedical-signals			
BGM for Creatures game series	mng	Starting from Creatures 2	audio, music			
BibTeX	bib		bibliographic-information			
big	big	Special file compression format used by Electronic Arts for compressing the data for many of EA's games	archive, compression	binary		
BIN	bin	compressed Archive. can be read and used by cd-roms and java, Extractable by 7-zip and WINRAR	archive, compression	binary		
Binarized file	pbo	Used for compiled models	video-game-data			Real Virtuality Engine, Flashpoint, ARMA 2, VBS2
Binary compressed SAM format	bam		biology, molecular-biology			
Binary compressed VCF format	bcf		biology, molecular-biology			
Binary Data	bin	Often memory dumps of executable code or data to be re-used by the same software that originated it		binary		
Binary Data Format	bdf	 raw data from recovered blocks of unallocated space on a hard drive	web			
Binary Revolution Stream	brstm		audio, music, sound, lossless, compressed			
Binary space partitioning	bsp	compiled map format	video-game-data			Quake Engine
Binary Universal Form for the Representation of meteorological data	bufr	WMO format for weather observation data	meteorology		https://en.wikipedia.org/wiki/BUFR	
Bink Video file	bik	A video compression system developed by RAD Game Tools	archive, compression	binary		
BioSemi data format	bdf	From BioSemi B.V. Amsterdam, Netherlands.	biomedical-signals			
BioSemi data format	bdf	Similar to EDF but 24bit	signal-data			
Bitmap Distribution Format	bdf		font			
Bitmapped Font	fon	Microsoft Windows	font			
Bitmapped Font 	fnt	Graphical Environment Manager	font			
Bitser encrypted password file	bpw		password-files			Bitser password manager
BKF	bkf	Microsoft backup created by NTBACKUP.EXE	archive, compression	binary		
Blender	blend		3d-graphics			
Blender encrypted blend files	block		3d-graphics			
BlindWrite 5/6 image file	b6t		physical, recordable media, archiving	binary		
Blitz3D	bb		code			
Blitz3D Model	b3d		3d-graphics			
BlitzMax	bmx		code			
Blizzard Entertainment proprietary texture format	blp		raster-graphic, image			
Blizzard Entertainment's own model format	mdx		3d-graphics			
BML	bml	Better Markup Language (templating)	webpage, dynamically generated			
Board file	brd	Board file for EAGLE Layout Editor, a commercial PCB design tool	EDA			
Borland InterBase Databases	gdb		database			
BRL-CAD geometry	g		3d-graphics			
BRL-CAD Geometry File	g		CAD			
BRL-CAD Geometry File (old ASCII format)	asc		CAD			
Broadcast Wave Format	bwf	An extension of WAVE	audio, music, sound, lossless, uncompressed			
Broadvision Quicksilver document	ildoc		desktop-publishing			
Browser extensible display format	bed	Describing genes and other features of DNA sequences	biology, molecular-biology			
BS Description language	bsdl	Description language for testing through JTAG	EDA			
buildingSMART for sharing AEC and FM data	ifc		CAD			
bundled SQL queries	sql		database			
ByteMap Font Format	bmf		font			
bzip2	bz2		archive, compression	binary		
C source	c		code			
C/C++ header file	h		code			
C# project (Visual Studio .NET)	csproj		code			
C# source	cs		code			
C++ header file	hpp, hxx		code			
C++ source	cpp, cc, cxx, c, cbp		code			
Cab	cab	A cabinet file is a library of compressed files stored as a single file. Cabinet files are used to organize installation files that are copied to the user's system.	archive, compression	binary		
Cache format	uxx	These are files that client downloaded from server (which can be converted to regular formats)	video-game-data			Unreal Engine
Caddie Early version of Caddie drawing	drw	Prior to Caddie changing to DWG	CAD			
CadStd	cad		CAD			
Cakewalk Sonar project file	cwp		audio-editing, music-production			
Cal3D	cal3d		3d-graphics			
Caligari Object	cob		3d-graphics			
Canon camera raw format	cr2	 Photos will have this format on some Canon cameras if the quality "RAW" is selected in camera settings.	raster-graphic, image			
Cartridge images	crt		video-game-storage-media			Commodore 64
Cascading Style Sheets	css		page-description-language			
cascading style sheets	css			text		
CATIA V4 part document	model		CAD			
CATIA V5 Assembly document	catproduct	CATProduct	CAD			
CATIA V5 Drawing document	catdrawing	CATDrawing	CAD			
CATIA V5 graphic representation file	cgr		CAD			
CATIA V5 Manufacturing document	catprocess	CATProcess	CAD			
CATIA V5 Part document	catpart	CATPart	CAD			
CD Box Labeler Pro	cbp		web			
CDDA	cdda		audio, music, sound, lossless, uncompressed			
CDRWrite image file	cue		physical, recordable media, archiving	binary		
CentraBuilder	cbp					
CFD General Notation System	cgns		multi-domain			
CFM	cfm	ColdFusion	webpage, dynamically generated			
CGI	cgi		webpage, dynamically generated			
Chart Data File Format	cfwb	From ADInstruments Pty Ltd, Bella Vista NSW, Australia.	biomedical-signals			
Chart Data File Format	cfwb	From ADInstruments	signal-data			
Chasys Draw IES image	cd5		raster-graphic, image			
Cheetah 3D file	jas		3d-graphics			
Chemical Markup Language	cml		chemistry			
Chemical table file (CTab)	mol, sd, sdf		chemistry			
Chicken	egg		script			
Cinema 4D	c4d		3d-graphics			
ClarisWorks / AppleWorks document	cwk		document			
CLIPFLAIR	clipflair, clipflair.zip	ClipFlair Studio component saved state file (contains component options in XML, extra/attached files and nested components' state in child .clipflair.zip files – activities are also components and can be nested at any depth)	archive, compression	binary		
Clojure source code	clj		code			
ClojureScript	cljs		script			
CloneCD image file	ccd, sub, img		physical, recordable media, archiving	binary		
COBOL source	cob, cbl		code			
Code::Blocks Project File	cbp					
CoffeeScript	coffee		script			
COLLADA	dae		3d-graphics			
Color Chat 1.0	ccf		document			
Color profile conforming the specification of the ICC.	icc/icm		color-management			
Comma Separated Values	csv	ASCII text as comma-separated values, used in spreadsheets and database management systems	document			
Comma-Separated Values	csv		spreadsheet			
Comma-separated values	csv		tabulated-data			
Commands	com	Commands used in DOS	executable-files			
Commodore-Amiga 16-bit sound	16svx	Usually in an IFF container	audio, music, sound, lossless, uncompressed			
Commodore-Amiga 8-bit sound	8svx	Usually in an IFF container	audio, music, sound, lossless, uncompressed			
Common Assembly Format	caf	Common assembly format for sequence assembly	biology, molecular-biology			
Common Biometric Format	cbf	Based upon CBEFF 2.0 (Common Biometric Exchange Formats Framework).	biometric-formats			
Common Data Format	cdf		multi-domain			
Common Lisp source	lisp		code			
Compact Pro (Macintosh)	cpt, sea		archive, compression	binary		
Compiled Microsoft Database	accde	Microsoft Office Access 2007 and later	database			
Compiled Microsoft Database (Access)	mde		database			
Compressed disk image	daa	Closed-format, Windows-only	archive, compression	binary		
Compressed file	pxz	Exchange media elements with PSALMO	web			
Compressed File Library	cfl		3d-graphics			
Computer Graphics Metafile	cgm	ISO Standard	vector-graphics			
Configuration file	cfg	For Comtrade data	signal-data			
Configuration file	cnf, conf, cfg	substantially software-specific		text		
Conlab Project	cbp					
Construction campaignes files.	constructioncampaign.gbx		video-game-data, trackmania			TrackMania
Cool Edit Loop	cel	Adobe Audition loop file	audio-editing, music-production			
Copies of ZX Spectrum games	tzx		video-game-storage-media			ZX Spectrum
Copy-on-write	cow		virtual-machine, qemu			
CopyCAD Curves	ccc		CAD			
CopyCAD Model	ccm		CAD			
CopyCAD Session	ccs		CAD			
Corel Paradox database management	pdx		database			
Corel Photo-Paint	cpt		desktop-publishing			
Corel PHOTO-PAINT image	cpt		raster-graphic, image			
Corel Presentations slide show creation	shw		presentation			
CorelDRAW	cdr		desktop-publishing			
CorelDRAW Document	cdr		vector-graphics			
CorelDRAW vector image	cmx		vector-graphics			
Coreona 3D Coreona 3D Virtual File	core3d		3d-graphics			
CRDOWNLOAD	crdownload	Partially completed downloads in Google Chrome	partial-file, incomplete-transfer			Google Chrome
Creative Labs Soundblaster Creative Voice	voc	8-bit and 16-bit	audio, music, sound, lossy			
CredX Dat File	credx		web			
Crystal Reports	rpt		document			
Cursor file	cur		cursors			
Custom sound file format	cust		audio, music			DeliPlayer
D source	d		code			
DarkBASIC Professional project	dbpro123		code			
DarkBASIC source	dba		code			
Dassault Systemes graphic representation	3dxml	Dassault Systemes graphic representation	CAD			
DAT	dat	MPEG-1 is found in a dat file on a video CD	physical, recordable media, archiving	binary		
Data	dat	Not specific file type, often generic extension for "data" files for a variety of applications. Sometimes used for general data contained within the .PK3/PK4 files	video-game-data			
Data Design System DDS-CAD	bin, bim		CAD			
Data File	dat	Usually proprietary to the program that created it		binary		
Data Image	dmg	An Apple compressed/encrypted format	archive, compression	binary		
Data Interchange Format	dif	Accessible by many spreadsheet applications	tabulated-data			
Data storage	pak, pk2		video-game-data			Quake Engine
Data storage	grp		video-game-data			Duke Nukem 3D Engine
Data storage	img	Used by Renderware-based Grand Theft Auto games 	video-game-data			
Data storage (contains music, maps, and textures)	wad		video-game-data			DOOM
Databank format	db	Accessible by many econometric applications	tabulated-data			
DataCAD drawing format[3]	aec		CAD			
Dataton Watchout Presentation	watch		presentation			
Day Dreamer Z	ddz	Can only be used by the "daydreamer engine" created by "fever-dreamer", a program similar to RAGS. It's mainly used to make somewhat short games	archive, compression	binary		
db, clipper, Microsoft FoxPro, harbour and Xbase	prg		code			
db/dbase II,III,IV and V, Clipper, Harbour/xHarbour, Fox/FoxPro, Oracle	dbf		database			
Debian install package	deb		archive, compression	binary		
deepMesh	dpm		3d-graphics			
DeHackEd files to mutate the game executable (not officially part of the DOOM engine)	deh		video-game-data			DOOM
Delcam Geometry	dgk		CAD			
Delcam Machining Triangles	dmt		CAD			
Delphi compiled unit	dcu		executable-files			
Deluxe Paint image file	lbm		raster-graphic, image			
Design database format with APIs	openaccess		EDA			
Desktop entry on Linux Desktop environments	desktop		links-and-shortcuts			
Detailed Standard Parasitic Format	dspf	Analog-level parasitics of interconnections in IC design	EDA			
Device independent file format	dvi		page-description-language		https://en.wikipedia.org/wiki/Device_independent_file_format	
Device-Independent Bitmap graphic	dib		raster-graphic, image			
Dialogic ADPCM Low Sample Rate Digitized Voice	vox		audio, music, sound, lossy			
DiamondWare Digitized	dwd		audio, music, sound, lossy			
Dicom Waveform Data	dicom	An extension of Dicom for storing waveform data	biomedical-signals			
diff	diff	Text file differences created by the program diff and applied as updates by patch	partial-file	text		
Digital Anchor data file	daf		database			
Digital Exchange Format	dxf	Drawing Interchange file Format, used in AutoCAD and other CAD-programs	vector-graphics	text		
Digital Imaging and Communications in Medicine 	dicom, dcm		biomedical-imaging			
Digital Publishing E	dpe	Package of AVE documents made with Aquafadas digital publishing tools.	archive, compression	binary		
Digital SIGnal Interchange Format	sigif	Application in neurophysiology.	biomedical-signals			
Digital Terrain Elevation Data	dted		gis			
Digital Theater Systems	dts, dtshd, dtsma		audio, music, sound, lossless, compressed			
DirectX 3D Model	x		3d-graphics			
DirectX texture file	dds		raster-graphic, image			
DiscJuggler image file	cdi		physical, recordable media, archiving	binary		
Disk	dsk	For archiving floppy disks from a number of other platforms, including the ZX Spectrum and Amstrad CPC.	physical, recordable media, archiving	binary		
Disk 64	d64	An archive of a Commodore 64 floppy disk.	physical, recordable media, archiving	binary		
Disk images	dsk		video-game-storage-media			ZX Spectrum
Disk images	d64		video-game-storage-media			Commodore 64
Disk Masher System	dms	A disk-archiving system native to the Amiga.	physical, recordable media, archiving	binary		
Disk Masher System	dms	Previously used as a disk-archiving system native to the Amiga. Also supported by emulators.	video-game-storage-media			Amiga
Disk storage images	dsk			binary		
Distinguished Encoding Rules	cer, crt, der	stores certificates	security			
DjVu for scanned documents	djvu		raster-graphic, image			
DNS zone file	zone		web	text		
DocBook XML sub-format	dbk		document			
Dolphin	dol	The file format used by the Gamecube and Wii. Short for Dolphin - the codename of the Gamecube.	executable-files			
Doom³ archive	pk4	Opens similarly to a zip archive	archive, compression	binary		
DOS Basic	dat		database			
DOS executable	exe		executable-files			
Dr. Halo image file	cut		raster-graphic, image			
Drawing	art	Superseded by xar	scene-description-language			Xara
Drawing	xar		scene-description-language			Xara
Drawing Express file format	exp		CAD			
DSH	dsh		video			
DuupeCheck project file	dupx	Database management tool 	web			
Dynamically Linked Library	dll	Used in Microsoft Windows and some other systems	executable-files			
E2D	e2d	2-dimensional vector graphics used by the editor which is included in JFire	vector-graphics			
Easy CD Creator format	cif		physical, recordable media, archiving	binary		
ECAB	ecab, ezip	EGT Compressed Folder used in advanced systems to compress entire system folders, replaced by EGT Universal Document	archive, compression	binary		
eDrawings drawing file	edrw		CAD			
eDrawings part file	eprt		CAD			
EEG data format	bkr	Developed at the University of Technology Graz, Austria.	biomedical-signals			
EEG data format	bkr	Developed at the University of Technology Graz	signal-data			
egg	egg	Alzip Egg Edition compressed file	archive, compression	binary		
EGT	egt	EGT Universal Document also used to create compressed cabinet files replaces .ecab	archive, compression	binary		
EGT Asterisk Application Source File	egt		script			
EGT Asterisk Source File	egt	Could be J, C#, VB.net, EF 2.0 (EGT Forever)	code			
EGT Forever Source File	efs		code			
EGT SmartSense	ess	 A database of files and its compression style. Specific to EGT SmartSense	database			
EGT Universal Document	egt		script			
EGT Universal Document	egt	Used to compress SQL databases to smaller files, may contain original EGT database style.	database			
EGT Universal Document	egt		document			
EGT Universal Document	egt	Used in EGT SmartSense to compress PNG files to yet a smaller file	raster-graphic, image			
EGT Universal Document	egt	EGT Vector Draw images are used to draw vector to a website	vector-graphics			
Eiffel source	e		code			
Electric Image	fact, fac		3d-graphics			
Electrocardiogram Markup Language	ecgml	A markup language for electrocardiogram data acquisition and analysis.	biomedical-signals			
Emacs Lisp source	el		code			
Embedded Ruby	erb	Ruby on Rails Script File	script			
EML	eml	File format used by several desktop email clients	markup-language			
Encapsulated Postscript	eps		vector-graphics			
Encrypted Email Attachment	eea	An encrypted CAB, ostensibly for protecting email attachments	security, encryption			
EndNote	enl		bibliographic-information			
Enhanced .arc archive	pak		archive, compression	binary		
Enhanced (Windows) MetaFile	emf	An extension to WMF	scene-description-language			
Enterprise Architect Project	eap		database			
EPUB open standard for e-books	epub		document			
EsCAD pcb	escpcb	Data file by Electro-System from Japan	CAD			
EsCAD sch	escsch	Data file by Electro-System from Japan	CAD			
ESRI ArcGIS project file	mxd	8.0 and higher	gis			
ESRI ArcView 	apr	3.3 and earlier project file	gis			
ESRI shapefile	shp		gis			
ESS	ess	EGT SmartSense File, detects files compressed using the EGT compression system.	archive, compression	binary		
European data format	edf		signal-data			
European Data Format.	edf, edf+		biomedical-signals			
European Molecular Biology Laboratory Format	embl	The flatfile format used by the EMBL to represent database records for nucleotide and peptide sequences from EMBL databases	biology, molecular-biology			
Excellon file	excellon		CAD			
Exchangeable image file format	exif	Exchangeable image file format (Exif) is a specification for the image file format used by digital cameras	raster-graphic, image			
Executable and Linkable Format 	elf	No suffix for executable image, .o for object files, .so for shared object files. Used in many modern Unix and Unix-like systems, including Solaris, other System V Release 4 derivatives, Linux, and BSD)	executable-files			
Executable Image	out	No suffix for executable image, .o for object files, .so for shared object files, classic UNIX object format, now often superseded by ELF	executable-files			
Expander	expander	 (see bundle)	executable-files			
Extended Biometric Format	ebf	Based on CBF but with S/MIME encryption support and semantic extensions	biometric-formats			
Extensible 3D	x3d		3d-graphics			
eXtensible Data Format	xdf		biomedical-signals			
eXtensible Hyper-Text Markup Language	xhtml, xht		document			
Extensible LADAR Format	xlf		web			
eXtensible Markup Language	xml		document			
Extensible Markup Language	xml			text		
Famicom Disk System	fds		video-game-storage-media			
Fasta Nucleic Acid	fasta, fna, faa	The FASTA file format, for sequence data. Sometimes also given as FNA or FAA (Fasta Nucleic Acid or Fasta Amino Acid).	biology, molecular-biology			
FCEUX Save States	fc, fc#		video-game-storage-media			
FeatureCAM Part File	fm		CAD			
Fielded Text	ftx	Declared	document			
Fielded Text Meta	ftm		document			
File archives	gcf	Used by the Steam content management system	video-game-data			
File Exchange Format	fef	File exchange format for Vital signs, CEN TS 14271.	biomedical-signals			
File Exchange Format	fef	For Vital signs	signal-data			
File Shortcut	lnk	Binary-format file shortcut in Microsoft Windows 95 and later	links-and-shortcuts			
File shortcut format used by ClickOnce	appref-ms		links-and-shortcuts			
FileMaker Pro	fp, fp3, fp5, and fp7		database			
Final Cut Pro project file	fcp		video-editing			
Final Draft	fdx		document			
Finale Notation File	mus		audio, music			Finale
Firebird Databases	fdb		database			
Flash video	flv	Encoded to run in a flash animation	video			
Flexible Image Transport System	fits	Standard data format for astronomy	scientific-data-exchange			
FlexiPro file	fs		vector-graphics			
flight tracks format	igc	Flight tracks downloaded from GPS devices in the FAI's prescribed format	web			
Font Data	fontdat	A .dat file used for formatting game fonts	video-game-data			
Font Description resource	fond	Mac OS	font			
FontForge spline font database Font	sfd		font			
Format for PCB and layout of integrated circuits	gdsii		EDA			
Format of Physiobank	wfdb		biomedical-signals			
FormZ Project file	fmz		CAD			
Forth source	fth		code			
Fortran source	for, ftn, f, f77, f90		code			
FotoInsight Designer	mcf		desktop-publishing			
Free Lossless Audio Codec	flac	Free lossless codec of the Ogg project	audio, music, sound, lossless, compressed			
FreeBASIC	bas		code			
FreeMind mind map file	mm, xml		gio			
Fruity Loops Project file	flp		audio-editing, music-production			
Full-Metadata Format	fmf		multi-domain			
Galaxkey	gxk	An encryption platform for authorized, private and confidential email communication	security			
Game Boy	gb	Applies to the original Game Boy and the Game Boy Color	video-game-storage-media			
Game Boy Advance	gba		video-game-storage-media			
Game Boy Advance Saved Data Files	sav		video-game-storage-media			
Game Boy Color	gbc		video-game-storage-media			
Game Maker Editable file as of version 6.x	gm6		code			
Game Maker Editable file as of version 7.0	gmk		code			
Game Maker Editable file up to version 5.x	gmd		code			
Game Maker Extension Editable file as of version 7.0	ged		code			
Game Maker Language script file	gml		code			
Game plugins	dat, sc4lot, sc4model		video-game-data			Simcity 4, DBPF
Gamebryo NetImmerse File	nif		3d-graphics			
GameCube	gcm		video-game-storage-media			
GarageBand project file	band		audio-editing, music-production			
Gate-level layout	def		EDA			
GDF v1.x	gdf	The General Data Format for biomedical signals	biomedical-signals			
GDF v2.x	gdf	The General Data Format for biomedical signals	biomedical-signals			
GenBank Format	genbank	The flatfile format used by the NCBI to represent database records for nucleotide and peptide sequences from the GenBank and RefSeq databases	biology, molecular-biology			
Gene transfer format	gtf	The Gene transfer format is used to hold information about gene structure.	biology, molecular-biology			
GEnealogical Data COMmunication	gedcom, ged	File format for exchanging genealogical data between different genealogy software	web			
General data formats	gdf	For biomedical signals	signal-data			
General editing	sqf		video-game-data			Real Virtuality Engine, Flashpoint, ARMA 2, VBS2
General feature format	gff	The General feature format is used for describing genes and other features of DNA, RNA and protein sequences	biology, molecular-biology			
General term for minimally processed image data	raw	Accquired by a digital camera	raster-graphic, image			
Gentoo linux's portage package.	ebuild		script			
Geographically located raster data	geotiff		gis			
Geographically located raster data	worldtiff	Text file giving corner coordinate, raster cells per unit, and rotation	gis			
Geography Markup Language file	gml		gis			
Gerber file	gbr		CAD			
Gerber file	gbr		vector-graphics			
Gesture And Motion Signal format	gms		signal-data			
GHO	gho, ghs	Norton Ghost	archive, compression	binary		
Ghoul Mesh	glm		3d-graphics			
GIMP image	xcf	From Gimp's origin at the eXperimental Computing Facility of the University of California	raster-graphic, image			
